epoch,iteration,train/loss,train/loss_grapheme,train/loss_vowel,train/loss_consonant,train/acc_grapheme,train/acc_vowel,train/acc_consonant,train/recall,valid/loss,valid/loss_grapheme,valid/loss_vowel,valid/loss_consonant,valid/acc_grapheme,valid/acc_vowel,valid/acc_consonant,valid/recall,lr,elapsed_time
1,5649,4.749010936478257,2.9741182578287413,1.0297610266801847,0.7451316514681411,0.23661267480970083,0.5040925385023898,0.6601987077358825,0.36927281581527954,3.0224560538105143,1.8053423255966727,0.7392777461487396,0.47783598130580723,0.42954816878980895,0.5743033439490446,0.7125497611464968,0.49240616735486686,0.001,767.9278424520162
2,11298,3.036555235038544,1.791850764435632,0.7578618304866946,0.4868426418189434,0.4146342272968667,0.5545140732873075,0.7011097096831297,0.47441811060786665,2.8045493449754777,1.6660716536745523,0.694047527530106,0.44443015882353876,0.4262639331210191,0.55671775477707,0.7016222133757961,0.47248139734639716,0.001,1599.0405221389956
3,16947,2.678655194268646,1.5569687530722822,0.6793271636718626,0.4423592752064988,0.4351920693928129,0.552592272968667,0.6990186316162152,0.4860880752832415,2.6666334151367472,1.5495577508192153,0.6855433399130584,0.43153232702641353,0.45267714968152867,0.5676054936305732,0.7106588375796178,0.4943202168799472,0.001,2396.034584734007
4,22596,2.5234726927389737,1.4646730424754175,0.640021632192203,0.4187780184861537,0.44172530536378124,0.5498838289962825,0.6998207647371216,0.48847322764179313,2.5347279667569573,1.487567520706327,0.6409016834797373,0.4062587578727561,0.44245621019108283,0.5469247611464968,0.694625796178344,0.4798409267129439,0.001,3185.6224765040097
5,28245,2.461063799791725,1.4319653667814227,0.6198254827255669,0.40927294711339185,0.4585468667020712,0.562371658700655,0.7075289874314038,0.5051126295906871,2.5142706514923434,1.474449925261081,0.6299534415244866,0.40986729253700394,0.4339470541401274,0.5407941878980891,0.6903463375796178,0.47064261279126895,0.001,3975.303943598992
6,33894,2.3947959477594627,1.3957533198825067,0.5999625976343986,0.39908003189681296,0.46152637634979643,0.5632213666135599,0.7080025225703664,0.5058289887620568,2.439688157361404,1.4462788164686815,0.5976199201563266,0.39578942189906624,0.44551154458598724,0.5480294585987262,0.6914510350318471,0.4841928958496718,0.001,4760.683752913028
7,39543,2.2788337912891246,1.3243746638844067,0.5717269325350914,0.3827321929670837,0.46675517790759424,0.5645656310851478,0.7105704549477784,0.5071253579622083,2.477000533585336,1.4565242024102978,0.6173385652671953,0.40313777603375117,0.4794884554140127,0.5861066878980892,0.7192675159235669,0.5185650627783297,0.001,5547.873050475027
8,45192,2.2203147804648458,1.2924612946201635,0.5544943230734091,0.373359160974904,0.45607408390865645,0.5542717737652683,0.7029087006549831,0.49610219357128393,2.2679026442918047,1.3354756240347387,0.5669443279943743,0.36548269018056284,0.47925955414012744,0.5820760350318471,0.7236664012738853,0.5226100903394684,0.001,6336.7274942729855
9,50841,2.2068845830286663,1.287388818066486,0.5484544999195484,0.37104126696611195,0.45792950079660116,0.5557919543281996,0.7024473358116481,0.5000847719233509,2.2096251155587896,1.2983404528290319,0.5423454285130664,0.36893923297987147,0.46956608280254775,0.5715764331210191,0.7066281847133757,0.5087709147966778,0.001,7125.984206452034
10,56490,2.128336911832765,1.2398377746755116,0.5290938488335198,0.3594052884498554,0.4685685519560984,0.5648510798371393,0.7100183660824925,0.5099559374078401,2.235862774264281,1.3120640394764294,0.551667101301585,0.3721316361853224,0.4661524681528662,0.5634156050955413,0.703234474522293,0.5033283922569343,0.001,7916.305712389003
11,62139,2.1003632574527007,1.2244174814078899,0.5225601202961151,0.3533856566551236,0.4721366613559922,0.5663668348380244,0.7101068773234201,0.5129367975320833,2.216995459809235,1.3044538454828891,0.5456276909762602,0.36691391892778646,0.49309315286624206,0.5827328821656051,0.7221138535031847,0.527172386532538,0.001,8707.284417272022
12,67788,2.0467225714006516,1.1901735868054373,0.5091351527419151,0.3474138317109381,0.47803151000177024,0.5704992033988316,0.7131074083908656,0.5176696161368236,2.1529913336204687,1.2617109553757937,0.5340513980229664,0.3572289785266421,0.4823347929936306,0.5759355095541401,0.7185011942675159,0.5152896730978762,0.001,9497.598688711994
